sku,date,actual,predicted
BRK-1015,2026-04-20,8,14.8
BRK-1015,2026-04-27,3,8.38
BRK-1015,2026-05-04,7,14.8
BRK-1015,2026-05-11,2,8.38
BRK-1015,2026-05-18,6,8.38
BRK-1015,2026-05-25,0,8.38
BRK-1015,2026-06-01,3,8.38
BRK-1015,2026-06-08,1,8.38
BRK-1036,2026-04-20,23,19.66
BRK-1036,2026-04-27,26,19.66
BRK-1036,2026-05-04,49,32.79
BRK-1036,2026-05-11,23,19.66
BRK-1036,2026-05-18,16,19.66
BRK-1036,2026-05-25,16,19.66
BRK-1036,2026-06-01,20,19.66
BRK-1036,2026-06-08,17,19.66
BRK-1040,2026-04-20,23,23.75
BRK-1040,2026-04-27,18,23.75
BRK-1040,2026-05-04,17,23.75
BRK-1040,2026-05-11,21,23.75
BRK-1040,2026-05-18,26,23.75
BRK-1040,2026-05-25,30,23.75
BRK-1040,2026-06-01,16,23.75
BRK-1040,2026-06-08,16,23.75
BRK-1041,2026-04-20,51,72.19
BRK-1041,2026-04-27,46,72.19
BRK-1041,2026-05-04,52,72.19
BRK-1041,2026-05-11,55,72.19
BRK-1041,2026-05-18,100,144.38
BRK-1041,2026-05-25,60,72.19
BRK-1041,2026-06-01,52,72.19
BRK-1041,2026-06-08,54,72.19
BRK-1054,2026-04-20,13,21.81
BRK-1054,2026-04-27,20,21.81
BRK-1054,2026-05-04,30,21.81
BRK-1054,2026-05-11,27,43.36
BRK-1054,2026-05-18,25,21.81
BRK-1054,2026-05-25,8,21.81
BRK-1054,2026-06-01,11,21.81
BRK-1054,2026-06-08,13,21.81
BRK-1074,2026-04-20,7,14.39
BRK-1074,2026-04-27,10,14.39
BRK-1074,2026-05-04,8,14.39
BRK-1074,2026-05-11,6,14.39
BRK-1074,2026-05-18,11,14.39
BRK-1074,2026-05-25,19,14.39
BRK-1074,2026-06-01,14,14.39
BRK-1074,2026-06-08,11,14.39
BRK-1083,2026-04-20,55,49.82
BRK-1083,2026-04-27,115,95.4
BRK-1083,2026-05-04,55,49.82
BRK-1083,2026-05-11,35,49.82
BRK-1083,2026-05-18,68,49.82
BRK-1083,2026-05-25,48,49.82
BRK-1083,2026-06-01,49,49.82
BRK-1083,2026-06-08,56,49.82
BRK-1087,2026-04-20,18,15.96
BRK-1087,2026-04-27,20,15.96
BRK-1087,2026-05-04,10,15.96
BRK-1087,2026-05-11,16,15.96
BRK-1087,2026-05-18,8,15.96
BRK-1087,2026-05-25,17,15.96
BRK-1087,2026-06-01,25,31.92
BRK-1087,2026-06-08,30,31.92
BRK-1092,2026-04-20,72,96.57
BRK-1092,2026-04-27,44,48.63
BRK-1092,2026-05-04,107,96.57
BRK-1092,2026-05-11,30,48.63
BRK-1092,2026-05-18,55,48.63
BRK-1092,2026-05-25,68,48.63
BRK-1092,2026-06-01,45,48.63
BRK-1092,2026-06-08,54,48.63
CHN-1005,2026-04-20,37,38.52
CHN-1005,2026-04-27,19,20.89
CHN-1005,2026-05-04,20,20.89
CHN-1005,2026-05-11,12,20.89
CHN-1005,2026-05-18,19,20.89
CHN-1005,2026-05-25,18,20.89
CHN-1005,2026-06-01,23,20.89
CHN-1005,2026-06-08,24,20.89
CHN-1023,2026-04-20,24,27.64
CHN-1023,2026-04-27,17,27.64
CHN-1023,2026-05-04,42,46.97
CHN-1023,2026-05-11,20,27.64
CHN-1023,2026-05-18,30,27.64
CHN-1023,2026-05-25,18,27.64
CHN-1023,2026-06-01,22,27.64
CHN-1023,2026-06-08,20,27.64
CHN-1029,2026-04-20,34,32.48
CHN-1029,2026-04-27,33,32.48
CHN-1029,2026-05-04,34,32.48
CHN-1029,2026-05-11,49,32.48
CHN-1029,2026-05-18,38,32.48
CHN-1029,2026-05-25,36,32.48
CHN-1029,2026-06-01,33,32.48
CHN-1029,2026-06-08,46,32.48
CHN-1043,2026-04-20,52,46.13
CHN-1043,2026-04-27,37,46.13
CHN-1043,2026-05-04,56,46.13
CHN-1043,2026-05-11,35,46.13
CHN-1043,2026-05-18,46,46.13
CHN-1043,2026-05-25,33,46.13
CHN-1043,2026-06-01,40,46.13
CHN-1043,2026-06-08,47,46.13
CHN-1046,2026-04-20,17,21.25
CHN-1046,2026-04-27,25,21.25
CHN-1046,2026-05-04,19,21.25
CHN-1046,2026-05-11,29,21.25
CHN-1046,2026-05-18,29,21.25
CHN-1046,2026-05-25,30,21.25
CHN-1046,2026-06-01,25,21.25
CHN-1046,2026-06-08,25,21.25
CHN-1048,2026-04-20,47,31.42
CHN-1048,2026-04-27,44,31.42
CHN-1048,2026-05-04,46,31.42
CHN-1048,2026-05-11,36,31.42
CHN-1048,2026-05-18,36,31.42
